thisDate,branch name,new files,existing files,Total files
6/22/2022,BEITBRIDGE,1,0,1
6/23/2022,BEITBRIDGE,1,0,1
6/24/2022,BEITBRIDGE,2,1,3
6/25/2022,BEITBRIDGE,1,1,2
6/26/2022,BEITBRIDGE,1,0,1
6/29/2022,BEITBRIDGE,4,0,4
6/30/2022,BEITBRIDGE,2,4,6
7/1/2022,BEITBRIDGE,1,2,3
7/2/2022,BEITBRIDGE,2,0,2
7/3/2022,BEITBRIDGE,1,1,2
7/4/2022,BEITBRIDGE,2,1,3
7/6/2022,BEITBRIDGE,1,1,2
7/7/2022,BEITBRIDGE,1,2,3
7/8/2022,BEITBRIDGE,4,2,6
7/10/2022,BEITBRIDGE,1,1,2
7/12/2022,BEITBRIDGE,3,0,3
7/14/2022,BEITBRIDGE,1,1,2
7/15/2022,BEITBRIDGE,3,0,3
7/16/2022,BEITBRIDGE,7,0,7
7/17/2022,BEITBRIDGE,1,0,1
7/19/2022,BEITBRIDGE,1,0,1
7/21/2022,BEITBRIDGE,2,0,2
7/23/2022,BEITBRIDGE,2,0,2
7/24/2022,BEITBRIDGE,1,0,1
7/25/2022,BEITBRIDGE,1,1,2
7/26/2022,BEITBRIDGE,1,0,1
7/27/2022,BEITBRIDGE,1,1,2
7/28/2022,BEITBRIDGE,2,1,3
7/29/2022,BEITBRIDGE,6,1,7
7/30/2022,BEITBRIDGE,1,6,7
7/31/2022,BEITBRIDGE,1,1,2
8/2/2022,BEITBRIDGE,2,0,2
8/3/2022,BEITBRIDGE,5,1,6
8/5/2022,BEITBRIDGE,2,2,4
8/6/2022,BEITBRIDGE,1,1,2
8/7/2022,BEITBRIDGE,1,2,3
8/9/2022,BEITBRIDGE,2,0,2
8/10/2022,BEITBRIDGE,1,2,3
8/12/2022,BEITBRIDGE,1,0,1
8/13/2022,BEITBRIDGE,2,1,3
8/16/2022,BEITBRIDGE,2,0,2
8/21/2022,BEITBRIDGE,2,0,2
8/22/2022,BEITBRIDGE,2,2,4
8/25/2022,BEITBRIDGE,1,1,2
8/26/2022,BEITBRIDGE,6,1,7
8/27/2022,BEITBRIDGE,4,4,8
8/29/2022,BEITBRIDGE,1,2,3
8/30/2022,BEITBRIDGE,1,2,3
9/1/2022,BEITBRIDGE,1,2,3
9/2/2022,BEITBRIDGE,3,2,5
9/3/2022,BEITBRIDGE,3,2,5
9/5/2022,BEITBRIDGE,1,0,1
9/6/2022,BEITBRIDGE,2,1,3
9/7/2022,BEITBRIDGE,2,2,4
9/8/2022,BEITBRIDGE,2,1,3
9/9/2022,BEITBRIDGE,4,1,5
9/14/2022,BEITBRIDGE,3,0,3
9/15/2022,BEITBRIDGE,1,1,2
9/18/2022,BEITBRIDGE,1,0,1
9/20/2022,BEITBRIDGE,2,0,2
9/21/2022,BEITBRIDGE,1,2,3
9/23/2022,BEITBRIDGE,1,0,1
9/24/2022,BEITBRIDGE,1,1,2
9/25/2022,BEITBRIDGE,1,0,1
9/27/2022,BEITBRIDGE,1,1,2
9/28/2022,BEITBRIDGE,1,1,2
9/30/2022,BEITBRIDGE,1,1,2
10/1/2022,BEITBRIDGE,5,0,5
10/2/2022,BEITBRIDGE,2,3,5
10/5/2022,BEITBRIDGE,2,4,6
10/7/2022,BEITBRIDGE,2,3,5
10/8/2022,BEITBRIDGE,1,0,1
10/14/2022,BEITBRIDGE,3,0,3
10/15/2022,BEITBRIDGE,1,1,2
10/16/2022,BEITBRIDGE,1,0,1
10/20/2022,BEITBRIDGE,3,0,3
10/21/2022,BEITBRIDGE,2,2,4
10/22/2022,BEITBRIDGE,1,1,2
10/25/2022,BEITBRIDGE,1,0,1
10/27/2022,BEITBRIDGE,2,0,2
10/28/2022,BEITBRIDGE,1,1,2
10/29/2022,BEITBRIDGE,4,0,4
10/30/2022,BEITBRIDGE,1,3,4
11/1/2022,BEITBRIDGE,1,0,1
11/4/2022,BEITBRIDGE,1,0,1
11/5/2022,BEITBRIDGE,3,1,4
11/6/2022,BEITBRIDGE,1,0,1
11/7/2022,BEITBRIDGE,1,1,2
11/8/2022,BEITBRIDGE,1,2,3
11/9/2022,BEITBRIDGE,1,1,2
11/10/2022,BEITBRIDGE,1,1,2
11/12/2022,BEITBRIDGE,2,0,2
11/13/2022,BEITBRIDGE,1,1,2
11/15/2022,BEITBRIDGE,1,1,2
11/17/2022,BEITBRIDGE,7,1,8
11/18/2022,BEITBRIDGE,1,3,4
11/19/2022,BEITBRIDGE,2,0,2
11/20/2022,BEITBRIDGE,1,1,2
11/21/2022,BEITBRIDGE,1,0,1
11/23/2022,BEITBRIDGE,3,1,4
11/24/2022,BEITBRIDGE,3,2,5
11/25/2022,BEITBRIDGE,5,3,8
11/26/2022,BEITBRIDGE,2,5,7
11/27/2022,BEITBRIDGE,1,3,4
11/28/2022,BEITBRIDGE,1,1,2
11/29/2022,BEITBRIDGE,1,2,3
11/30/2022,BEITBRIDGE,2,2,4
12/1/2022,BEITBRIDGE,2,2,4
12/2/2022,BEITBRIDGE,2,3,5
12/3/2022,BEITBRIDGE,3,1,4
12/6/2022,BEITBRIDGE,1,0,1
12/7/2022,BEITBRIDGE,2,1,3
12/8/2022,BEITBRIDGE,1,1,2
12/9/2022,BEITBRIDGE,3,1,4
12/11/2022,BEITBRIDGE,2,0,2
12/12/2022,BEITBRIDGE,2,1,3
12/13/2022,BEITBRIDGE,1,1,2
12/14/2022,BEITBRIDGE,1,2,3
12/15/2022,BEITBRIDGE,2,2,4
12/16/2022,BEITBRIDGE,2,2,4
12/19/2022,BEITBRIDGE,1,0,1
12/20/2022,BEITBRIDGE,3,1,4
12/21/2022,BEITBRIDGE,1,4,5
12/23/2022,BEITBRIDGE,1,0,1
12/24/2022,BEITBRIDGE,2,0,2
12/25/2022,BEITBRIDGE,2,1,3
12/27/2022,BEITBRIDGE,2,1,3
12/29/2022,BEITBRIDGE,1,0,1
12/30/2022,BEITBRIDGE,1,1,2
12/31/2022,BEITBRIDGE,4,0,4
1/1/2022,BULAWAYO,10,29,39
1/2/2022,BULAWAYO,7,21,28
1/3/2022,BULAWAYO,11,23,34
1/4/2022,BULAWAYO,8,23,31
1/5/2022,BULAWAYO,12,20,32
1/6/2022,BULAWAYO,8,17,25
1/7/2022,BULAWAYO,8,19,27
1/8/2022,BULAWAYO,12,14,26
1/9/2022,BULAWAYO,7,18,25
1/10/2022,BULAWAYO,9,18,27
1/11/2022,BULAWAYO,11,21,32
1/12/2022,BULAWAYO,5,20,25
1/13/2022,BULAWAYO,3,17,20
1/14/2022,BULAWAYO,14,13,27
1/15/2022,BULAWAYO,5,19,24
1/16/2022,BULAWAYO,5,15,20
1/17/2022,BULAWAYO,8,10,18
1/18/2022,BULAWAYO,10,13,23
1/19/2022,BULAWAYO,16,18,34
1/20/2022,BULAWAYO,1,24,25
1/21/2022,BULAWAYO,6,16,22
1/22/2022,BULAWAYO,3,11,14
1/23/2022,BULAWAYO,5,6,11
1/24/2022,BULAWAYO,6,8,14
1/25/2022,BULAWAYO,5,13,18
1/26/2022,BULAWAYO,11,13,24
1/27/2022,BULAWAYO,8,17,25
1/28/2022,BULAWAYO,6,19,25
1/29/2022,BULAWAYO,7,13,20
1/30/2022,BULAWAYO,7,11,18
1/31/2022,BULAWAYO,16,14,30
2/1/2022,BULAWAYO,3,22,25
2/2/2022,BULAWAYO,9,12,21
2/3/2022,BULAWAYO,11,20,31
2/4/2022,BULAWAYO,11,20,31
2/5/2022,BULAWAYO,5,18,23
2/6/2022,BULAWAYO,2,11,13
2/7/2022,BULAWAYO,8,9,17
2/8/2022,BULAWAYO,5,14,19
2/9/2022,BULAWAYO,9,11,20
2/10/2022,BULAWAYO,7,13,20
2/11/2022,BULAWAYO,8,12,20
2/12/2022,BULAWAYO,6,11,17
2/13/2022,BULAWAYO,3,11,14
2/14/2022,BULAWAYO,5,7,12
2/15/2022,BULAWAYO,6,10,16
2/16/2022,BULAWAYO,6,11,17
2/17/2022,BULAWAYO,7,8,15
2/18/2022,BULAWAYO,7,10,17
2/19/2022,BULAWAYO,2,12,14
2/20/2022,BULAWAYO,7,7,14
2/21/2022,BULAWAYO,6,11,17
2/22/2022,BULAWAYO,7,10,17
2/23/2022,BULAWAYO,5,13,18
2/24/2022,BULAWAYO,8,11,19
2/25/2022,BULAWAYO,7,17,24
2/26/2022,BULAWAYO,5,14,19
2/27/2022,BULAWAYO,3,13,16
2/28/2022,BULAWAYO,4,11,15
3/1/2022,BULAWAYO,11,10,21
3/2/2022,BULAWAYO,9,15,24
3/3/2022,BULAWAYO,11,16,27
3/4/2022,BULAWAYO,2,19,21
3/5/2022,BULAWAYO,8,13,21
3/6/2022,BULAWAYO,7,11,18
3/7/2022,BULAWAYO,6,14,20
3/8/2022,BULAWAYO,3,16,19
3/9/2022,BULAWAYO,7,10,17
3/10/2022,BULAWAYO,5,9,14
3/11/2022,BULAWAYO,9,10,19
3/12/2022,BULAWAYO,5,13,18
3/13/2022,BULAWAYO,4,8,12
3/14/2022,BULAWAYO,4,7,11
3/15/2022,BULAWAYO,5,8,13
3/16/2022,BULAWAYO,5,9,14
3/17/2022,BULAWAYO,12,10,22
3/18/2022,BULAWAYO,4,19,23
3/19/2022,BULAWAYO,5,12,17
3/20/2022,BULAWAYO,2,8,10
3/21/2022,BULAWAYO,3,7,10
3/22/2022,BULAWAYO,5,7,12
3/23/2022,BULAWAYO,11,8,19
3/24/2022,BULAWAYO,7,18,25
3/25/2022,BULAWAYO,4,19,23
3/26/2022,BULAWAYO,11,12,23
3/27/2022,BULAWAYO,4,14,18
3/28/2022,BULAWAYO,7,11,18
3/29/2022,BULAWAYO,2,11,13
3/30/2022,BULAWAYO,7,9,16
3/31/2022,BULAWAYO,3,12,15
4/1/2022,BULAWAYO,8,10,18
4/2/2022,BULAWAYO,6,10,16
4/3/2022,BULAWAYO,5,13,18
4/4/2022,BULAWAYO,6,12,18
4/5/2022,BULAWAYO,12,11,23
4/6/2022,BULAWAYO,13,12,25
4/7/2022,BULAWAYO,11,20,31
4/8/2022,BULAWAYO,7,21,28
4/9/2022,BULAWAYO,8,21,29
4/10/2022,BULAWAYO,6,15,21
4/11/2022,BULAWAYO,10,15,25
4/12/2022,BULAWAYO,8,14,22
4/13/2022,BULAWAYO,7,19,26
4/14/2022,BULAWAYO,4,16,20
4/15/2022,BULAWAYO,9,10,19
4/16/2022,BULAWAYO,6,13,19
4/17/2022,BULAWAYO,10,13,23
4/18/2022,BULAWAYO,8,16,24
4/19/2022,BULAWAYO,7,15,22
4/20/2022,BULAWAYO,6,16,22
4/21/2022,BULAWAYO,12,15,27
4/22/2022,BULAWAYO,6,15,21
4/23/2022,BULAWAYO,5,12,17
4/24/2022,BULAWAYO,6,8,14
4/25/2022,BULAWAYO,5,10,15
4/26/2022,BULAWAYO,11,11,22
4/27/2022,BULAWAYO,7,15,22
4/28/2022,BULAWAYO,11,15,26
4/29/2022,BULAWAYO,8,16,24
4/30/2022,BULAWAYO,8,11,19
5/1/2022,BULAWAYO,11,17,28
5/2/2022,BULAWAYO,7,19,26
5/3/2022,BULAWAYO,9,21,30
5/4/2022,BULAWAYO,5,19,24
5/5/2022,BULAWAYO,14,18,32
5/6/2022,BULAWAYO,7,19,26
5/7/2022,BULAWAYO,1,17,18
5/8/2022,BULAWAYO,9,12,21
5/9/2022,BULAWAYO,11,15,26
5/10/2022,BULAWAYO,4,19,23
5/11/2022,BULAWAYO,12,11,23
5/12/2022,BULAWAYO,12,12,24
5/13/2022,BULAWAYO,4,17,21
5/14/2022,BULAWAYO,5,8,13
5/15/2022,BULAWAYO,11,9,20
5/16/2022,BULAWAYO,9,16,25
5/17/2022,BULAWAYO,8,18,26
5/18/2022,BULAWAYO,1,19,20
5/19/2022,BULAWAYO,7,15,22
5/20/2022,BULAWAYO,7,20,27
5/21/2022,BULAWAYO,6,16,22
5/22/2022,BULAWAYO,6,14,20
5/23/2022,BULAWAYO,6,9,15
5/24/2022,BULAWAYO,15,13,28
5/25/2022,BULAWAYO,6,24,30
5/26/2022,BULAWAYO,8,22,30
5/27/2022,BULAWAYO,7,19,26
5/28/2022,BULAWAYO,7,11,18
5/29/2022,BULAWAYO,4,10,14
5/30/2022,BULAWAYO,6,12,18
5/31/2022,BULAWAYO,3,14,17
6/1/2022,BULAWAYO,6,13,19
6/2/2022,BULAWAYO,12,16,28
6/3/2022,BULAWAYO,9,20,29
6/4/2022,BULAWAYO,7,14,21
6/5/2022,BULAWAYO,7,15,22
6/6/2022,BULAWAYO,10,17,27
6/7/2022,BULAWAYO,9,21,30
6/8/2022,BULAWAYO,10,22,32
6/9/2022,BULAWAYO,8,16,24
6/10/2022,BULAWAYO,9,16,25
6/11/2022,BULAWAYO,5,10,15
6/12/2022,BULAWAYO,3,12,15
6/13/2022,BULAWAYO,11,10,21
6/14/2022,BULAWAYO,9,19,28
6/15/2022,BULAWAYO,3,22,25
6/16/2022,BULAWAYO,7,17,24
6/17/2022,BULAWAYO,10,19,29
6/18/2022,BULAWAYO,5,19,24
6/19/2022,BULAWAYO,8,12,20
6/20/2022,BULAWAYO,8,15,23
6/21/2022,BULAWAYO,7,16,23
6/22/2022,BULAWAYO,5,16,21
6/23/2022,BULAWAYO,4,12,16
6/24/2022,BULAWAYO,12,13,25
6/25/2022,BULAWAYO,5,16,21
6/26/2022,BULAWAYO,8,14,22
6/27/2022,BULAWAYO,11,14,25
6/28/2022,BULAWAYO,7,19,26
6/29/2022,BULAWAYO,10,20,30
6/30/2022,BULAWAYO,12,17,29
7/1/2022,BULAWAYO,8,21,29
7/2/2022,BULAWAYO,9,20,29
7/3/2022,BULAWAYO,6,18,24
7/4/2022,BULAWAYO,9,21,30
7/5/2022,BULAWAYO,11,18,29
7/6/2022,BULAWAYO,10,17,27
7/7/2022,BULAWAYO,5,21,26
7/8/2022,BULAWAYO,7,17,24
7/9/2022,BULAWAYO,11,13,24
7/10/2022,BULAWAYO,11,17,28
7/11/2022,BULAWAYO,10,23,33
7/12/2022,BULAWAYO,10,22,32
7/13/2022,BULAWAYO,9,19,28
7/14/2022,BULAWAYO,7,19,26
7/15/2022,BULAWAYO,6,20,26
7/16/2022,BULAWAYO,8,14,22
7/17/2022,BULAWAYO,7,13,20
7/18/2022,BULAWAYO,12,14,26
7/19/2022,BULAWAYO,5,20,25
7/20/2022,BULAWAYO,8,14,22
7/21/2022,BULAWAYO,10,17,27
7/22/2022,BULAWAYO,3,21,24
7/23/2022,BULAWAYO,8,12,20
7/24/2022,BULAWAYO,9,13,22
7/25/2022,BULAWAYO,8,17,25
7/26/2022,BULAWAYO,8,16,24
7/27/2022,BULAWAYO,7,16,23
7/28/2022,BULAWAYO,7,17,24
7/29/2022,BULAWAYO,5,16,21
7/30/2022,BULAWAYO,4,12,16
7/31/2022,BULAWAYO,8,6,14
8/1/2022,BULAWAYO,7,13,20
8/2/2022,BULAWAYO,12,17,29
8/3/2022,BULAWAYO,10,19,29
8/4/2022,BULAWAYO,7,19,26
8/5/2022,BULAWAYO,10,16,26
8/6/2022,BULAWAYO,4,14,18
8/7/2022,BULAWAYO,3,11,14
8/8/2022,BULAWAYO,6,10,16
8/9/2022,BULAWAYO,5,12,17
8/10/2022,BULAWAYO,7,15,22
8/11/2022,BULAWAYO,4,18,22
8/12/2022,BULAWAYO,7,13,20
8/13/2022,BULAWAYO,5,12,17
8/14/2022,BULAWAYO,8,11,19
8/15/2022,BULAWAYO,5,14,19
8/16/2022,BULAWAYO,6,13,19
8/17/2022,BULAWAYO,1,11,12
8/18/2022,BULAWAYO,12,10,22
8/19/2022,BULAWAYO,8,12,20
8/20/2022,BULAWAYO,6,15,21
8/21/2022,BULAWAYO,4,13,17
8/22/2022,BULAWAYO,7,10,17
8/23/2022,BULAWAYO,3,13,16
8/24/2022,BULAWAYO,12,10,22
8/25/2022,BULAWAYO,8,16,24
8/26/2022,BULAWAYO,4,14,18
8/27/2022,BULAWAYO,6,14,20
8/28/2022,BULAWAYO,2,10,12
8/29/2022,BULAWAYO,8,9,17
8/30/2022,BULAWAYO,3,14,17
8/31/2022,BULAWAYO,8,8,16
9/1/2022,BULAWAYO,8,12,20
9/2/2022,BULAWAYO,10,16,26
9/3/2022,BULAWAYO,10,12,22
9/4/2022,BULAWAYO,6,17,23
9/5/2022,BULAWAYO,10,17,27
9/6/2022,BULAWAYO,9,22,31
9/7/2022,BULAWAYO,7,22,29
9/8/2022,BULAWAYO,5,20,25
9/9/2022,BULAWAYO,5,22,27
9/10/2022,BULAWAYO,2,15,17
9/11/2022,BULAWAYO,2,4,6
9/12/2022,BULAWAYO,6,6,12
9/13/2022,BULAWAYO,3,8,11
9/14/2022,BULAWAYO,10,10,20
9/15/2022,BULAWAYO,7,15,22
9/16/2022,BULAWAYO,7,20,27
9/17/2022,BULAWAYO,4,15,19
9/18/2022,BULAWAYO,7,9,16
9/19/2022,BULAWAYO,9,8,17
9/20/2022,BULAWAYO,13,14,27
9/21/2022,BULAWAYO,4,23,27
9/22/2022,BULAWAYO,8,23,31
9/23/2022,BULAWAYO,7,20,27
9/24/2022,BULAWAYO,10,15,25
9/25/2022,BULAWAYO,4,18,22
9/26/2022,BULAWAYO,10,15,25
9/27/2022,BULAWAYO,7,21,28
9/28/2022,BULAWAYO,3,16,19
9/29/2022,BULAWAYO,7,11,18
9/30/2022,BULAWAYO,3,15,18
10/1/2022,BULAWAYO,4,6,10
10/2/2022,BULAWAYO,7,4,11
10/3/2022,BULAWAYO,4,9,13
10/4/2022,BULAWAYO,4,10,14
